Book_Title,Author,Barcode,Status,User
"Uncertainty in the Geologic Environment: From Theory to Practice, Proceedings of Uncertainty '96, July 31-August 3, 1996, Madison, Wisconsin, (2 Volumes) (Geotechnical Special Publications, No. 58)","American Society of Civil Engineers Geotechnical Engineering Division, Charles D. Shackelford, Priscilla P. Nelson, Mary Jane Roth",2010000000496,Available,nan
"Ground Improvement Ground Reinforcement Ground Treatment: Developments 1987-1997 : Logan, Utah July 17-19, 1997 (Geotechnical Special Publication)",,2010000000502,Available,nan
"Geotechnical Earthquake Engineering and Soil Dynamics III: Proceedings of a Specialty Conference August 3-6, 1998 University of Washington Seattle, ... Special Publication)Volumes 1 &amp; 2","American Society of Civil Engineers Geo-Institute, United States Air Force Office of Scientific Research, Specialty Conference on Geotechnical Earthquake Engineering and Soil d, Panos Dakoulas, Mishac K. Yegian, Robert D. Holtz",2010000000519,Available,nan
"Geotechnical Earthquake Engineering and Soil Dynamics III: Proceedings of a Specialty Conference August 3-6, 1998 University of Washington Seattle, ... Special Publication)Volumes 1 &amp; 2","American Society of Civil Engineers Geo-Institute, United States Air Force Office of Scientific Research, Specialty Conference on Geotechnical Earthquake Engineering and Soil d, Panos Dakoulas, Mishac K. Yegian, Robert D. Holtz",2010000000526,Available,nan
"Advances in Unsaturated Geotechnics: Proceedings of Sessions of Geo-Denver 2000 : August 5-8, 2000, Denver, Colorado (Geotechnical Special Publication)","Charles D. Shackelford, Sandra L. Houston, Nien-Yin Chang",2010000000533,Available,nan
"Innovations and Applications in Geotechnical Site Characterization: Proceedings of Sessions of Geo-Denver 2000, August 5-8, 2000, Denver, Colorado (Geotechnical Special Publication)","Roman Hryciw, Paul W. Mayne",2010000000540,Available,nan
Geo-volution: The Evolution of Colorado's Geological and Geotechnical Engineering Practice (Geotechnical Practice Publication),"Richard L. Wiltshire, Minal L. Parekh, Christoph M. Gross (Editors)",2010000000557,Available,nan
Geo-volution: The Evolution of Colorado's Geological and Geotechnical Engineering Practice (Geotechnical Practice Publication),"Richard L. Wiltshire, Minal L. Parekh, Christoph M. Gross (Editors)",2010000000564,Available,nan
H2geo: Geotechnical Engineering For Water Resources (Geotechnical Practice Publication),"Colo.) Denver Geotechnical Symposium (2004 Denver, DENVER GEOTECHNICAL SYMPOSIUM, Christoph M. Goss, Harold W. Olsen, Richard L. Wiltshire",2010000000571,Available,nan
"Risk-Based Decision Making in Water Resources VII: Proceedings of the Seventh Conference, October 8-13, 1995, Santa Barbara, California","Engineering Foundation (U. S.), Universities Council on Water Resources, American Society of Civil Engineers Task Committee on Risk Analysis an, Engineering Foundation Conference on Risk-Based Decision Making in wat, Yacov Y. Haimes, David A. Moser, Eugene Z. Stakhiv",2010000000588,Available,nan
