Book_Title,Author,Barcode,Status,User
Determining Dynamic Properties for Embankment Dams From lanoratory Testing,,2010000002421,Available,nan
Sources of Error in Joint Surveys,R. Terzaghi,2010000002438,Available,nan
The Cost of Dam Failure: A Framework for Analysis,"John J. Boland, Bruce Ellingwood, Kaveh Ehsani, Paul Franklin, Susan Hoffman, Nicholas Jones, Ross B. Corotis",2010000002445,Available,nan
Failure of Teton Dam,"Wallace L. Chadwick, Arthur Casagrande, Howard A. Coombs, Munson W. Dowd, E. Montford Fucik, R. Keith Higginson, Thomas M. Peck, Ralph B. Peck, H. Bolton Seed, Robert B. jansen",2010000002452,Available,nan
Concrete Dams Case Histories of Failures and Nonfailures with Back Calculations,"Check Anderson, m Caroline Mohorovic, larry Mogck, Bitsy Cohen, Gregg Scott",2010000002469,Available,nan
Concrete Dams Case Histories of Failures and Nonfailures with Back Calculations,"Check Anderson, m Caroline Mohorovic, larry Mogck, Bitsy Cohen, Gregg Scott",2010000002476,Available,nan
Investigation of The Cause of Quail Creek Dike Failure,"Richard B. Catanach, Robert L. James, Alan L. O'Neill, J. Lawrence Von Thun",2010000002483,Available,nan
Notes on the Design of the Liquid Limit Device,Arthur Casagrande,2010000002490,Available,nan
"Manual of Soil Laboratory Testing, Effective Stress Tests (Volume 3)",K. H. Head,2010000002506,Available,nan
The Measurement of Soil Properties in the Triaxial Test,"Alan W. Bishop, D. J. Henekel",2010000002513,Available,nan
The Measurement of Soil Properties in the Triaxial Test,"Alan W. Bishop, D. J. Henekel",2010000002520,Available,nan
Testing Techniques for Rock Mechanics,,2010000002537,Available,nan
Investigation of Failure Baldwin Hills Reservoir,"Hugo Fisher, Edmund G. Brown, William E. Warne",2010000002544,Available,nan
Failure of Teton Dam,,2010000002551,Available,nan
Failure of Teton Dam,"Wallace L. Chadwick, Arthur Casagrande, Howard A. Coombs, Munson W. Dowd, E. Montiford Fucik, R. Keith Higginson, Thomas M. leps, Ralph B. Peck, H. Bolton Seed, Robert B. Jensen",2010000002568,Available,nan
Failure of Teton Dam,"Wallace L. Chadwick, Arthur Casagrande, Howard A. Coombs, Munson W. Dowd, E. Montiford Fucik, R. Keith Higginson, Thomas M. leps, Ralph B. Peck, H. Bolton Seed, Robert B. Jensen",2010000002575,Available,nan
A Decision Analysis Frameqwork for Assessing Post-Failure Velocity of natural Rock Slopes,"J. Glastonbury, R. Fell",2010000002582,Available,nan
Embankment Dam Instrumentation Manual,"Charles L. Bartholomew, Bruce C. Murray, Dan L. Goins",2010000002599,Available,nan
Embankment Dam Instrumentation Manual,"Charles L. Bartholomew, Bruce C. Murray, Dan L. Goins",2010000002605,Available,nan
Embankment Dam Instrumentation Manual,"Charles L. Bartholomew, Bruce C. Murray, Dan L. Goins",2010000002612,Available,nan
Instrumentation of Earth and Rock -Fill Dams (Groundwater and Pore Pressure Observations),,2010000002629,Available,nan
Instrumentation of Earth and Rock -Fill Dams (Earth-Movement and Pressure Measuring Devices),,2010000002636,Available,nan
Soil Tests,"George E. Bertram, Wm. C. LaBaugh Jr.",2010000002667,Available,
Evaluation of Soil Mechanics laboratory Equipment,"B. N. Maclver, R. T. Donaghe",2010000002674,Available,nan
Investigation of Tensile Testing of Compacted Soils,"M. M. Al-Hussaini, F.C. Townsend",2010000002681,Available,nan
Investigation of Plane Strain Shear Testing,M. M. Al-Hussaini,2010000002698,Available,nan
"Analysis of Data From Instrumentation Program, Old River Rock","W. C. Sherman Jr., C. C. Trahan",2010000002704,Available,nan
"A Study of the Condition of Piezometers in the 1949 Installation at Reid-Bedford, Louisiana",J. L. MaCallUS Army Engineer Waterways Experiment Station,2010000002711,Available,nan
"Field Tests of the Cucaracha Formation, Pananma Canal, 1942-1946","C. K. Smith, R. J. Lutton",2010000002728,Available,nan
Effects of Strain Rate in Consolidated-Undrained Triaxial Compression Tests op Cohesive Soils,"R. F. Esquivel-Diaz, J. R. Compton",2010000002735,Available,nan
Effects of Strain Rate in Consolidated-Undrained Triaxial Compression Tests pf Cohesive Soils,R. T. Donaghe,2010000002742,Available,nan
The Effect of Rate of Displacement on Measuring the Residual Strength of Clays,D. P. LaGatta,2010000002759,Available,nan
Comparison of Results of Liquid limit Tests By Standard and One-Point Methods,,2010000002766,Available,nan
Performance of Relief Wells Along Missouri River Levees 1951-1952 Floods,,2010000002773,Available,nan
Seismic Instrumentation Conference on Earth and Concrete Dams,,2010000002780,Available,nan

